system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
RefSim-V,repair,POOLED,,1052.9389674078918,52.101308292507824,932,10,8.533856038381023,0.052653439330193764,932,10,0,32.25290165308046,8.729713288548197,10.0,0.038936097273026424,0.011178709171294047,10.0
RefSim-W,processing,M1.1,,3.8974053745018096,0.005877245193652757,201008,10,3.350941176527647,0.0016183226856120827,201008,10,0,3.069333341900847,0.006231981643411009,10.0,1.605190157011996,0.002768283132322907,10.0
RefSim-W,processing,M1.2,,4.182743982436175,0.008533479323441924,202296,10,3.417913736975078,0.00212702242209728,202296,10,0,2.886003057767017,0.008839541907533537,10.0,1.2546680413237965,0.0031339112141056747,10.0
RefSim-W,processing,M2.1,,4.865855750412476,0.008388055684986203,200996,10,3.568244134387278,0.0018607315528478786,200996,10,0,3.9717157652427133,0.008329822545601807,10.0,1.757794124761578,0.002261880085179979,10.0
RefSim-W,processing,M2.2,,5.031486488019285,0.010342689409116089,202294,10,3.5936699054206813,0.0019263721683173145,202294,10,0,3.9124057605003224,0.010288156319366566,10.0,1.5949133980217092,0.002703853076022947,10.0
RefSim-W,processing,M3.1,,7.275291236817983,0.014039894546471851,232416,10,3.9590453347631174,0.0018846049139878325,232416,10,0,5.916619485127872,0.014099231395525203,10.0,1.7890773980469021,0.002963655149947689,10.0
RefSim-W,processing,M3.2,,5.4708130923395055,0.013841976901660917,170867,10,3.7019960870274056,0.0027213488138550404,170867,10,0,4.29120945094734,0.013580878152496657,10.0,1.6191906491752974,0.0030196790799931067,10.0
RefSim-W,processing,M4.1,,5.666942608109249,0.009621264096312619,232414,10,3.7023531402726384,0.0016267245098742999,232414,10,0,4.718553101863349,0.009518238107962984,10.0,1.881298315828267,0.002697794443799066,10.0
RefSim-W,processing,M4.2,,4.564453713003968,0.010525300311363629,170868,10,3.5197875482721104,0.0023204924192617906,170868,10,0,3.7179626666607675,0.010639055504722234,10.0,1.7631130701484452,0.003005111254248364,10.0
RefSim-W,processing,M5,,24.19926168772051,0.052349300521394575,108425,10,5.172679518191537,0.0021882536058843442,108425,10,0,9.823900908511416,0.03802535554343822,10.0,0.7021750161194288,0.0027812081448617986,10.0
RefSim-W,processing,POOLED,,6.373212791176323,0.0059862302183070325,1721584,10,3.7085770321080025,0.0010340986235176902,1721584,10,0,4.470287973408487,0.005985805940031799,10.0,1.6028931351918363,0.0015403093045490432,10.0
RefSim-W,survival,M1.1,,11978.610986546448,849.1977604843363,164,10,10.869022068109135,0.08812654223289766,174,10,10,1573.0168111199275,396.3237233936647,10.0,0.5569129298522568,0.06713817856881303,10.0
RefSim-W,survival,M1.2,,17965.458624201838,1475.9127712770282,131,10,11.249918172410911,0.17775610762395108,141,10,10,1504.5002642697784,298.1419369065279,10.0,0.735442312313119,0.1510126684154914,10.0
RefSim-W,survival,M2.1,,24154.049473691364,3748.18339420934,54,10,10.38759010626032,0.28279158748549316,64,10,10,1320.6564708345554,606.5910514136618,10.0,0.4211330531631596,0.20121390451669988,10.0
RefSim-W,survival,M2.2,,26455.096407592064,4665.613276832659,60,10,10.689845410783652,0.41418380201333693,70,10,10,1018.343890709972,457.60445310660015,10.0,0.5073660730769065,0.3302632928338691,10.0
RefSim-W,survival,M3.1,,21475.819386957475,1507.0664265474154,129,10,11.184245879416968,0.10697599304933854,139,10,10,2190.88543601511,1097.271354133964,10.0,0.4197997904547622,0.05676944424187908,10.0
RefSim-W,survival,M3.2,,16661.07635235111,2819.8350545825188,106,10,11.031784753419142,0.3764329648905014,116,10,10,178.10386765506428,218.12748952376793,10.0,0.5325341350123048,0.3123316669369974,10.0
RefSim-W,survival,M4.1,,19820.46909267984,1727.7596712553777,94,10,11.008424059516667,0.2330663518795458,104,10,10,2015.9834989129668,496.8094018872314,10.0,0.6202218112319351,0.21277948696928167,10.0
RefSim-W,survival,M4.2,,29294.965580584027,5843.923508918942,58,10,10.90741347538833,0.5102660627806921,68,10,10,1790.0261195356077,1160.2447885542392,10.0,0.9118043073037285,0.3365756311455472,10.0
