config,days,seed,deep_w1,refm_w1
days_0014,14,1000,196.71493610211547,20.312611912613026
days_0014,14,1001,115.08673723510151,27.159265885605627
days_0014,14,1002,13299.374383635972,36.00304626273633
days_0014,14,1003,73.58877325609751,27.493942500590087
days_0014,14,1004,98.98737194057398,33.79383311346592
days_0014,14,1005,319.059192942799,28.44222626342151
days_0014,14,1006,1407.2029030608317,33.92100966291481
days_0014,14,1007,8160.815517845916,26.601539538742855
days_0014,14,1008,2595.3937723400827,28.464851708359227
days_0014,14,1009,225.35619035384647,28.264540790803427
days_0031,31,1000,252.6647982750818,40.74012817737226
days_0031,31,1001,971.278256113263,33.64263608248054
days_0031,31,1002,287.94301144384934,33.90815934275541
days_0031,31,1003,687.9650050764435,30.564352601306858
days_0031,31,1004,1120.760917259127,36.07009490855659
days_0031,31,1005,20.010643452323997,37.81399983864458
days_0031,31,1006,202.78584066097562,41.87251845220023
days_0031,31,1007,897.910324327049,40.69328685750489
days_0031,31,1008,203.20161609390374,31.668948424150027
days_0031,31,1009,187.33855660419482,41.45592399277052
days_0061,61,1000,11.662764170275224,26.79807134832667
days_0061,61,1001,16.220117338430576,35.16298775953541
days_0061,61,1002,10.095578593913107,34.953631273188876
days_0061,61,1003,8.865921123505252,33.16177985268564
days_0061,61,1004,13.292318347970632,32.03125656770879
days_0061,61,1005,8.293693012164335,26.355754863310363
days_0061,61,1006,11.318368772516823,37.306079172629296
days_0061,61,1007,10.066574566373063,39.258260865050225
days_0061,61,1008,7.089034170031622,26.3694845358913
days_0061,61,1009,22.997156392132435,37.33287673723193
days_0091,91,1000,29.52735438796615,26.861719047594775
days_0091,91,1001,19.765462227216247,29.22364379963215
days_0091,91,1002,8.470354737316098,26.289215432833377
days_0091,91,1003,8.789448087031708,30.872230391289616
days_0091,91,1004,18.162303999808387,31.08522909263698
days_0091,91,1005,28.703033575005698,36.79544787065798
days_0091,91,1006,11.936956985823397,39.0770897865093
days_0091,91,1007,7.381148906956321,40.20216723725338
days_0091,91,1008,10.084990576556518,24.160065371811466
days_0091,91,1009,41.22148640603967,38.888394504796125
days_0183,183,1000,10.815043625507247,27.025452409522458
days_0183,183,1001,16.781720427675136,31.893303909690623
days_0183,183,1002,78.59369828096993,35.89756346408292
days_0183,183,1003,13.861687803292245,33.835117624839214
days_0183,183,1004,16.352328445346675,35.13869619656371
days_0183,183,1005,7.147787926301698,36.70332390284158
days_0183,183,1006,10.672702266006379,35.026508445827396
days_0183,183,1007,12.69413000250493,33.2850528943887
days_0183,183,1008,8.113385599831943,30.4677874511493
days_0183,183,1009,20.406504125655353,37.75652676377417
days_0365,365,1000,9.367772379154204,25.52787154795496
days_0365,365,1001,39.76134417811005,29.59370915058004
days_0365,365,1002,18.18651797528896,35.2471190282112
days_0365,365,1003,10.809931468582295,30.408453840539185
days_0365,365,1004,31.664278673954236,30.93215204746561
days_0365,365,1005,23.76649784358165,38.24446101556471
days_0365,365,1006,10.97139411608409,37.77946774937561
days_0365,365,1007,14.88566893413611,45.187004376931384
days_0365,365,1008,7.493103848933245,28.050335238210636
days_0365,365,1009,11.072114865510176,37.489453566110484
