system,kpi,mean_r,sd_r,pooled_rel
GroundSim-DEC,avg_breakdown_repair,-0.050819685170290084,0.19750295051135386,-0.0759141495899603
GroundSim-DEC,buffer_time_mean,-4.901122831290966e-05,0.0010120493786007802,-4.94358867924005e-05
GroundSim-DEC,buffer_wait_mean,-0.006931478490937513,0.01542012277385112,-0.007064173601415654
GroundSim-DEC,cycle_time_mean,-0.007294707723184269,0.017021535035167883,-0.007521639566829789
GroundSim-DEC,cycle_time_std,-0.03357259266856414,0.29983398958399937,-0.08238537993289531
GroundSim-DEC,fe_cycle,0.007449564090877355,0.01837529329146535,0.007219854738320149
GroundSim-DEC,fe_system,0.007197204359651656,0.016228896267434165,0.0070387672299199195
GroundSim-DEC,inline_wait_mean,-0.01980311798331459,0.04870229310321216,-0.021626727932058117
GroundSim-DEC,multi_rework_rate,0.00402048584081223,0.02254736429146545,0.003845680564551755
GroundSim-DEC,n_breakdowns,-0.0034306605627006602,0.03481444165210474,-0.004296455424274882
GroundSim-DEC,n_buffer_events,0.007101381061585589,0.01547511478813127,0.006974546642602117
GroundSim-DEC,n_valid,0.00714208283453982,0.015568076426150991,0.007010893429954472
GroundSim-DEC,processing_mean,-0.0001786904264513093,0.0022744577491100853,-0.0001803613857339006
GroundSim-DEC,rework_rate,-0.004090184462943615,0.012342330174196975,-0.004184693627913435
GroundSim-DEC,system_time_mean,-0.0071038501237153965,0.015292747416688759,-0.007260629177552598
GroundSim-DEC,tech_availability,0.0006208447180440375,0.001675107201548234,0.0006192688839711809
DeepSim,avg_breakdown_repair,-0.15408139135635002,0.2417912346913433,-0.1859464236489697
DeepSim,buffer_time_mean,-0.0006832116163518211,0.0009189623259653702,-0.0006834332986719405
DeepSim,buffer_wait_mean,-0.013971116218378052,0.018016356987031103,-0.014157652073545489
DeepSim,cycle_time_mean,-0.013774785395461763,0.021417818992305944,-0.014054031218848358
DeepSim,cycle_time_std,-0.11547613020546879,0.3301524432102075,-0.17083692210274037
DeepSim,fe_cycle,0.00913674282135322,0.021375856985527117,0.008881206304531555
DeepSim,fe_system,0.009161292473284764,0.018409281247688515,0.008971447536431419
DeepSim,inline_wait_mean,-0.0290168491659608,0.058803838982103354,-0.03111359530878958
DeepSim,multi_rework_rate,-0.001313212646709997,0.015111877947955356,-0.0014332034544485752
DeepSim,n_breakdowns,0.060328526050610606,0.06324909077258072,0.05907626208378088
DeepSim,n_buffer_events,0.013055083799528595,0.01885442653025407,0.012866106345520368
DeepSim,n_valid,0.013515899251210117,0.01901242604332213,0.013319705175309586
DeepSim,processing_mean,-0.005173968603561488,0.002082234042880236,-0.005175036462514509
DeepSim,rework_rate,-0.018244071352669342,0.013129984510529642,-0.018323545193694477
DeepSim,system_time_mean,-0.01390672161095222,0.018293163935901635,-0.014113152818413143
DeepSim,tech_availability,0.0011114323294467647,0.0020574985236260735,0.0011093594737729118
RefSim-M,avg_breakdown_repair,-0.02362207671673126,0.07187947015799981,-0.0265576890682186
RefSim-M,buffer_time_mean,0.0004602189935632485,0.0010457523769830733,0.00046003265639488986
RefSim-M,buffer_wait_mean,-0.043660814193195015,0.0076220855879397375,-0.04370373748260354
RefSim-M,cycle_time_mean,0.037123388607748185,0.012794150614531867,0.036945495780547115
RefSim-M,cycle_time_std,-0.052970002657941516,0.20122938789863712,-0.08293728604423017
RefSim-M,fe_cycle,-0.03535911895913423,0.011217115471298868,-0.03550461086882532
RefSim-M,fe_system,0.009453794528522227,0.007971543178412156,0.009383248313174695
RefSim-M,inline_wait_mean,0.10879095683012037,0.03736402998064782,0.10731157788938814
RefSim-M,multi_rework_rate,-0.053895659146169804,0.016279730885594205,-0.053975360256525814
RefSim-M,n_breakdowns,0.04615075947968035,0.09121988868184568,0.04726100966702477
RefSim-M,n_buffer_events,0.049657780024794235,0.008944380108608905,0.049623980447695344
RefSim-M,n_valid,0.0493997961771775,0.008916633486210862,0.04936155222073658
RefSim-M,processing_mean,0.0003229134177923092,0.001335780568900574,0.00032204685921375905
RefSim-M,rework_rate,0.003870234615876511,0.015464064515112924,0.0038158738476865733
RefSim-M,system_time_mean,-0.008987281419236258,0.00826852713966112,-0.00906948535551499
RefSim-M,tech_availability,-0.00011413688900923371,0.0007980320016835958,-0.00011443907338398157
RefSim-V,avg_breakdown_repair,-0.03748166278621351,0.09828706329324799,-0.04449700246217122
RefSim-V,buffer_time_mean,-0.015928761967703056,0.0005741111337859287,-0.015929088694270878
RefSim-V,buffer_wait_mean,-0.07732883248046347,0.010408800043472614,-0.07737839884944422
RefSim-V,cycle_time_mean,-0.02488437414968996,0.016226840612115496,-0.025065397030678376
RefSim-V,cycle_time_std,-0.04415740554993092,0.3501499805049985,-0.09891372116329349
RefSim-V,fe_cycle,-0.010481150888349302,0.016171996364893894,-0.010646687023903895
RefSim-V,fe_system,0.02076010242251594,0.013113937322810002,0.02066963280519816
RefSim-V,inline_wait_mean,-0.0038816380059301693,0.04695701409320442,-0.005321137745293117
RefSim-V,multi_rework_rate,-0.38494903492063604,0.015168842180927984,-0.38506718799329315
