system,seed,kpi,value
GroundSim,1008,cycle_time_mean,560.0018551517074
GroundSim,1008,cycle_time_std,325.80939040435317
GroundSim,1008,fe_cycle,65.55570664269477
GroundSim,1008,fe_system,28.33176292971768
GroundSim,1008,inline_wait_mean,192.88868179480562
GroundSim,1008,multi_rework_rate,6.444211194375961
GroundSim,1008,n_breakdowns,91.0
GroundSim,1008,n_buffer_events,256788.0
GroundSim,1008,n_valid,40967.0
GroundSim,1008,processing_mean,367.1131733569019
GroundSim,1008,rework_rate,17.40669319208143
GroundSim,1008,system_time_mean,1295.7653721287866
GroundSim,1008,tech_availability,99.3932962179612
GroundSim,1009,avg_breakdown_repair,1502.343465030541
GroundSim,1009,buffer_time_mean,15.065408284887257
GroundSim,1009,buffer_wait_mean,733.0797596750261
GroundSim,1009,cycle_time_mean,545.6309746783099
GroundSim,1009,cycle_time_std,238.93336394249275
GroundSim,1009,fe_cycle,67.36647616881729
GroundSim,1009,fe_system,28.74554429327101
GroundSim,1009,inline_wait_mean,178.0586141519608
GroundSim,1009,multi_rework_rate,6.40704434336309
GroundSim,1009,n_breakdowns,95.0
GroundSim,1009,n_buffer_events,257727.0
GroundSim,1009,n_valid,41111.0
GroundSim,1009,processing_mean,367.5723605263492
GroundSim,1009,rework_rate,17.6181557247452
GroundSim,1009,system_time_mean,1278.7107343533362
GroundSim,1009,tech_availability,99.40792749743669
GroundSim-DEC,1000,avg_breakdown_repair,2039.486332236297
GroundSim-DEC,1000,buffer_time_mean,15.068929477927636
GroundSim-DEC,1000,buffer_wait_mean,749.9421440302593
GroundSim-DEC,1000,cycle_time_mean,562.8249639177823
GroundSim-DEC,1000,cycle_time_std,403.30569031276406
GroundSim-DEC,1000,fe_cycle,65.25212764019773
GroundSim-DEC,1000,fe_system,27.975660086470093
GroundSim-DEC,1000,inline_wait_mean,195.56970007125426
GroundSim-DEC,1000,multi_rework_rate,6.509729756631663
GroundSim-DEC,1000,n_breakdowns,92.0
GroundSim-DEC,1000,n_buffer_events,251975.0
GroundSim-DEC,1000,n_valid,40186.0
GroundSim-DEC,1000,processing_mean,367.25526384652807
GroundSim-DEC,1000,rework_rate,17.451351216841687
GroundSim-DEC,1000,system_time_mean,1312.7671079480417
GroundSim-DEC,1000,tech_availability,99.22162177018727
GroundSim-DEC,1001,avg_breakdown_repair,1673.9685511378154
GroundSim-DEC,1001,buffer_time_mean,15.089948125672898
GroundSim-DEC,1001,buffer_wait_mean,737.4025643535284
GroundSim-DEC,1001,cycle_time_mean,553.6789664285016
GroundSim-DEC,1001,cycle_time_std,353.59857423230324
GroundSim-DEC,1001,fe_cycle,66.61987789592148
GroundSim-DEC,1001,fe_system,28.569865076347494
GroundSim-DEC,1001,inline_wait_mean,184.81871505843375
GroundSim-DEC,1001,multi_rework_rate,6.704512087696976
GroundSim-DEC,1001,n_breakdowns,92.0
GroundSim-DEC,1001,n_buffer_events,256481.0
GroundSim-DEC,1001,n_valid,40868.0
GroundSim-DEC,1001,processing_mean,368.8602513700678
GroundSim-DEC,1001,rework_rate,17.671527845747285
GroundSim-DEC,1001,system_time_mean,1291.0815307820299
GroundSim-DEC,1001,tech_availability,99.3611231136969
GroundSim-DEC,1002,avg_breakdown_repair,2041.3916207129748
GroundSim-DEC,1002,buffer_time_mean,15.071754664549424
GroundSim-DEC,1002,buffer_wait_mean,747.6902044462088
GroundSim-DEC,1002,cycle_time_mean,562.9993052798729
GroundSim-DEC,1002,cycle_time_std,385.86187504244066
GroundSim-DEC,1002,fe_cycle,65.37268297402211
GroundSim-DEC,1002,fe_system,28.08046820054857
GroundSim-DEC,1002,inline_wait_mean,194.95155429331464
GroundSim-DEC,1002,multi_rework_rate,6.49067090115125
GroundSim-DEC,1002,n_breakdowns,91.0
GroundSim-DEC,1002,n_buffer_events,252750.0
GroundSim-DEC,1002,n_valid,40304.0
GroundSim-DEC,1002,processing_mean,368.0477509865583
GroundSim-DEC,1002,rework_rate,17.58634378721715
GroundSim-DEC,1002,system_time_mean,1310.6895097260817
GroundSim-DEC,1002,tech_availability,99.22936314597072
GroundSim-DEC,1003,avg_breakdown_repair,1895.7787791953535
GroundSim-DEC,1003,buffer_time_mean,15.087205601527689
GroundSim-DEC,1003,buffer_wait_mean,738.2208784213876
GroundSim-DEC,1003,cycle_time_mean,560.2199236155315
GroundSim-DEC,1003,cycle_time_std,314.3645627754435
GroundSim-DEC,1003,fe_cycle,65.76290457801349
GroundSim-DEC,1003,fe_system,28.37379210637488
GroundSim-DEC,1003,inline_wait_mean,191.80302982122942
GroundSim-DEC,1003,multi_rework_rate,6.639573030406893
GroundSim-DEC,1003,n_breakdowns,89.0
GroundSim-DEC,1003,n_buffer_events,256331.0
GroundSim-DEC,1003,n_valid,40846.0
GroundSim-DEC,1003,processing_mean,368.41689379430204
GroundSim-DEC,1003,rework_rate,17.6590118983499
GroundSim-DEC,1003,system_time_mean,1298.4408020369192
GroundSim-DEC,1003,tech_availability,99.30006176428553
GroundSim-DEC,1004,avg_breakdown_repair,1978.4039623783933
GroundSim-DEC,1004,buffer_time_mean,15.071822930850931
GroundSim-DEC,1004,buffer_wait_mean,746.092669158971
GroundSim-DEC,1004,cycle_time_mean,561.2806318239212
GroundSim-DEC,1004,cycle_time_std,365.4391880387859
GroundSim-DEC,1004,fe_cycle,65.52742299898586
GroundSim-DEC,1004,fe_system,28.132189448119536
