config,seed,deep_w1,refm_w1,refv_w1,refw_w1,groundsim_dec_w1
production,1000,11.16259248710877,28.09289545870506,18.65576181352059,32.53102458639164,9.83037473980961
production,1001,35.41052090565542,27.632012841706917,31.96731003178081,33.33899254954089,28.349005700665565
production,1002,8.852014237285287,30.602715570478697,25.13331924071835,28.390110556417838,10.683591331080756
production,1003,10.806681076639883,29.97797783006053,25.194995088201882,25.138045647736618,8.967436777259534
production,1004,12.118438784856973,22.42139926802511,19.92643351458063,24.36592514330041,8.903595133007688
production,1005,10.813564993572449,32.067292211614614,23.72896372560261,29.880468366217073,9.45829919702619
production,1006,13.922403725374915,28.27308719536322,25.476195420735316,30.00869836477965,8.223529357999045
production,1007,9.78830686519958,28.009152983894893,17.385709480199495,28.690433562059496,7.224476526093974
production,1008,6.060421137974792,24.470514500829573,19.35396839679069,22.849912837375086,3.7069023712738085
production,1009,10.975572325358467,29.12418516277721,20.47071743971653,31.355619012514985,10.902418622790774
seed_0102,1000,9.90184116103097,30.501304738080695,20.465070870316534,30.450064134253807,9.83037473980961
seed_0102,1001,39.19199928494967,28.895428252581745,40.3501770500965,25.406577758402477,28.349005700665565
seed_0102,1002,7.914802488084066,27.640609074916163,21.39797088751714,19.828512450909017,10.683591331080756
seed_0102,1003,10.421419865834139,34.1558896923915,20.97001215199624,29.745253094108175,8.967436777259534
seed_0102,1004,15.462553133141602,21.978021507642534,24.36765530161947,25.581839937295037,8.903595133007688
seed_0102,1005,18.828358561407924,35.37182577836237,22.162337694883924,34.96999525856069,9.45829919702619
seed_0102,1006,11.389421643504534,21.774159188450376,21.75120629882381,27.613618557681974,8.223529357999045
seed_0102,1007,10.048418661350205,27.998663999439124,18.403043741557163,35.93273832513523,7.224476526093974
seed_0102,1008,8.456566609435118,30.6198693155739,16.743927023985066,31.225684804632223,3.7069023712738085
seed_0102,1009,11.384247232755744,29.35889667262991,26.21288074340567,32.99918557497024,10.902418622790774
seed_0103,1000,6.993941004792969,24.875387426676646,17.559923548340638,31.47092801938685,9.83037473980961
seed_0103,1001,27.62093497908797,21.34035648402218,28.980492556154147,29.438445343499193,28.349005700665565
seed_0103,1002,11.373180243609646,26.159056886732923,19.584115943647138,28.843632036280084,10.683591331080756
seed_0103,1003,11.126127057371374,30.202725858828728,19.931839987607113,38.42270461895477,8.967436777259534
seed_0103,1004,13.187250905737965,17.582451788989353,22.84460355659996,26.73039467028042,8.903595133007688
seed_0103,1005,8.107064369061003,31.772549363220044,19.485747828602314,32.16866434996163,9.45829919702619
seed_0103,1006,4.058809777206127,25.452221498686022,25.129817762807942,24.789697378498033,8.223529357999045
seed_0103,1007,5.631487439085868,29.348357057945464,17.768593774963335,29.025329488505164,7.224476526093974
seed_0103,1008,3.869431926577237,25.18876959903811,16.718279937465766,26.785294015688038,3.7069023712738085
seed_0103,1009,19.922973606669046,35.22406205559916,16.267326896135007,34.83946213614445,10.902418622790774
seed_0104,1000,8.755163554615596,25.992431736353463,21.87125087483573,28.782575558244368,9.83037473980961
seed_0104,1001,32.6135543574919,33.225706055887066,27.37284628333822,28.40304132089537,28.349005700665565
seed_0104,1002,10.067320854190086,28.050649264902425,23.172688888697053,25.279976841912553,10.683591331080756
seed_0104,1003,11.554394602090643,25.177608145289724,18.84127511884296,33.689977044075455,8.967436777259534
seed_0104,1004,13.150803131333689,25.193803941768117,24.37452908239308,24.158928050413202,8.903595133007688
seed_0104,1005,9.339732565177389,30.336054472208183,19.643162922080908,29.22793441491487,9.45829919702619
seed_0104,1006,9.050948859745729,22.31358959820239,30.614807242015704,30.30558101030573,8.223529357999045
seed_0104,1007,11.860003143319272,28.684731518009926,19.80582310385787,26.697929596818845,7.224476526093974
seed_0104,1008,11.728254169018772,24.930812887198684,16.6793648474455,21.55171834369898,3.7069023712738085
seed_0104,1009,19.620282147626547,35.80860807850982,17.923636583965134,27.611121058386846,10.902418622790774
seed_0105,1000,5.432676957113318,28.233817367662052,18.551846554272437,27.46818400313311,9.83037473980961
seed_0105,1001,32.834450728033346,26.129034212933774,31.080760090350633,22.448499265300313,28.349005700665565
seed_0105,1002,14.358490834160019,34.600971185919896,19.23980680932639,26.164495941055037,10.683591331080756
seed_0105,1003,12.331416073079831,32.5506326652427,20.018747866622274,28.736199182369333,8.967436777259534
seed_0105,1004,11.376559359158865,20.668235236520644,22.88871059748314,21.96968132883783,8.903595133007688
seed_0105,1005,9.939067798601812,35.99172344484708,21.68369483350036,34.36602364611036,9.45829919702619
seed_0105,1006,13.525519344047636,20.612085543620644,31.716191873090946,25.79571053283108,8.223529357999045
seed_0105,1007,14.426121183786618,27.806219002094124,20.697674317038548,35.525044367889905,7.224476526093974
seed_0105,1008,9.665399321326479,27.231550827115854,18.005986246024904,27.591058353354764,3.7069023712738085
seed_0105,1009,14.898540329732317,28.020748877924326,18.91972662133716,41.99330304795691,10.902418622790774
