direction,component,configuration,seed,reference_system,coupled_slots,w1,ks_d
swap_to_perfect,survival,Hybrid (Perfect Survival),1007,Target (GroundSim),none,5.574425253294874,0.007894308200294214
swap_to_perfect,survival,Hybrid (Perfect Survival),1008,Target (GroundSim),none,6.192327850126825,0.0140083522701277
swap_to_perfect,survival,Hybrid (Perfect Survival),1009,Target (GroundSim),none,6.3675544287972805,0.006111214694873426
swap_to_perfect,repair,Hybrid (Perfect Repair),1000,Target (GroundSim),none,9.823662530566075,0.007236704236536218
swap_to_perfect,repair,Hybrid (Perfect Repair),1001,Target (GroundSim),none,33.0614504388799,0.02867479552419039
swap_to_perfect,repair,Hybrid (Perfect Repair),1002,Target (GroundSim),none,11.320106217007085,0.007349743632580119
swap_to_perfect,repair,Hybrid (Perfect Repair),1003,Target (GroundSim),none,11.668266223445379,0.015945514781183445
swap_to_perfect,repair,Hybrid (Perfect Repair),1004,Target (GroundSim),none,9.036260550417142,0.01464189360632051
swap_to_perfect,repair,Hybrid (Perfect Repair),1005,Target (GroundSim),none,11.893410655605173,0.010970448258940224
swap_to_perfect,repair,Hybrid (Perfect Repair),1006,Target (GroundSim),none,12.054077878031167,0.023061431103032604
swap_to_perfect,repair,Hybrid (Perfect Repair),1007,Target (GroundSim),none,8.64021391879123,0.009083799422847094
swap_to_perfect,repair,Hybrid (Perfect Repair),1008,Target (GroundSim),none,3.990756904259356,0.004233903846554643
swap_to_perfect,repair,Hybrid (Perfect Repair),1009,Target (GroundSim),none,8.692981231307044,0.009447837620338295
swap_to_one,processing,Hybrid (DeepSim Process only),1000,Target (GroundSim),pr rt sv tr,4.030095932327076,0.0071393885246407995
swap_to_one,processing,Hybrid (DeepSim Process only),1001,Target (GroundSim),pr rt sv tr,12.556190679640569,0.007881346580336457
swap_to_one,processing,Hybrid (DeepSim Process only),1002,Target (GroundSim),pr rt sv tr,7.0669892659204505,0.00414682712593073
swap_to_one,processing,Hybrid (DeepSim Process only),1003,Target (GroundSim),pr rt sv tr,3.6060525321127526,0.008728750460816503
swap_to_one,processing,Hybrid (DeepSim Process only),1004,Target (GroundSim),pr rt sv tr,7.234899580387514,0.013587469047127931
swap_to_one,processing,Hybrid (DeepSim Process only),1005,Target (GroundSim),pr rt sv tr,8.30858320829188,0.007903067628809657
swap_to_one,processing,Hybrid (DeepSim Process only),1006,Target (GroundSim),pr rt sv tr,7.053356000871828,0.005448109872869589
swap_to_one,processing,Hybrid (DeepSim Process only),1007,Target (GroundSim),pr rt sv tr,6.30497200975803,0.006881440113925552
swap_to_one,processing,Hybrid (DeepSim Process only),1008,Target (GroundSim),pr rt sv tr,3.6232089700366763,0.007139367937194746
swap_to_one,processing,Hybrid (DeepSim Process only),1009,Target (GroundSim),pr rt sv tr,5.240850710909598,0.009084976777369413
swap_to_one,routing,Hybrid (DeepSim Routing only),1000,Target (GroundSim),pr pt rt sv,3.2943542830674524,0.008709487428184115
swap_to_one,routing,Hybrid (DeepSim Routing only),1001,Target (GroundSim),pr pt rt sv,8.774585753861254,0.016661193399188923
swap_to_one,routing,Hybrid (DeepSim Routing only),1002,Target (GroundSim),pr pt rt sv,13.351870640400898,0.013914209456457771
swap_to_one,routing,Hybrid (DeepSim Routing only),1003,Target (GroundSim),pr pt rt sv,5.409952884666023,0.007041126210410864
swap_to_one,routing,Hybrid (DeepSim Routing only),1004,Target (GroundSim),pr pt rt sv,8.936697030622115,0.018253706269223124
swap_to_one,routing,Hybrid (DeepSim Routing only),1005,Target (GroundSim),pr pt rt sv,8.848290546003447,0.008943341882128863
swap_to_one,routing,Hybrid (DeepSim Routing only),1006,Target (GroundSim),pr pt rt sv,6.977982812086745,0.015819357780298304
swap_to_one,routing,Hybrid (DeepSim Routing only),1007,Target (GroundSim),pr pt rt sv,8.72008064220903,0.007683275457542715
swap_to_one,routing,Hybrid (DeepSim Routing only),1008,Target (GroundSim),pr pt rt sv,5.580768815362316,0.01407258092988517
swap_to_one,routing,Hybrid (DeepSim Routing only),1009,Target (GroundSim),pr pt rt sv,8.085634278323083,0.010923806985929208
swap_to_one,arrival,Hybrid (DeepSim Orders only),1000,Target (GroundSim),pt rt sv tr,11.638113238278233,0.01698525911089238
swap_to_one,arrival,Hybrid (DeepSim Orders only),1001,Target (GroundSim),pt rt sv tr,21.719910605085147,0.026779604759377296
swap_to_one,arrival,Hybrid (DeepSim Orders only),1002,Target (GroundSim),pt rt sv tr,13.196449975324013,0.020475825680223547
