system,ref,n,w1_mean,w1_sd,w1_se
GroundSim-DEC,GroundSim,10,10.624962975700695,6.558411381684767,2.073951779849577
DeepSim,GroundSim,10,12.99105165390265,8.141817013417214,2.5746686054708086
RefSim-M,GroundSim,10,28.067123302345586,2.8332330570228232,0.8959469602273837
RefSim-V,GroundSim,10,22.72933741518469,4.412637713004776,1.3953985662251491
RefSim-W,GroundSim,10,28.654923062633365,3.5296609489680093,1.1161767966890257
