config,seed,deep_w1,refm_w1,groundsim_dec_w1,hybrid_statrepair_w1,hybrid_statrepair_statsurvival_w1
seed_0101,1000,9.724031982044728,28.725697993634938,9.83037473980961,10.13967676579784,8.267353210274617
seed_0101,1001,32.62111763459524,35.78385815340583,28.349005700665565,20.009773816577123,16.636651687867577
seed_0101,1002,11.038853240608958,32.16835520890635,10.683591331080756,14.303546966282283,13.607677861915562
seed_0101,1003,16.312214113606423,31.60550614043902,8.967436777259534,9.785706002008954,9.358311992368023
seed_0101,1004,9.317054623986845,24.57785009689805,8.903595133007688,7.491658490916455,11.637733411375164
seed_0101,1005,13.078829328052276,41.759770613823775,9.45829919702619,10.904507164119188,12.027099870009017
seed_0101,1006,12.327363258495009,28.611138026876695,8.223529357999045,10.172729698978925,16.358118446456874
seed_0101,1007,12.46836767053691,31.46448048461346,7.224476526093974,6.989189514300572,11.096425316457104
seed_0101,1008,6.158340555302981,26.15557639436018,3.7069023712738085,9.210222450655122,6.208994825662851
seed_0101,1009,14.170197937892848,27.721890796859533,10.902418622790774,7.815058352459289,5.851418985583024
seed_0102,1000,25.831343031700897,29.235623088549392,9.83037473980961,30.586797618655485,30.063418860363754
seed_0102,1001,49.890101654356464,27.247498923975108,28.349005700665565,35.00190421649964,44.65092530723057
seed_0102,1002,25.80128845361518,38.41269988226013,10.683591331080756,19.774257940585052,33.386870031335604
seed_0102,1003,27.149667074335333,40.29957219936259,8.967436777259534,31.824110113665792,25.813004888177588
seed_0102,1004,34.908194438389046,22.43652071211551,8.903595133007688,28.56167751248819,28.39153575809633
seed_0102,1005,42.57166351641079,35.026517459435574,9.45829919702619,26.46600046994277,24.990990054966133
seed_0102,1006,28.379487544872845,27.63415358282222,8.223529357999045,32.35192347037723,36.43716282876577
seed_0102,1007,22.462491603970655,42.277939936806874,7.224476526093974,30.6145358914456,20.949768554557597
seed_0102,1008,18.00633071442132,30.34651485771092,3.7069023712738085,19.499030845340776,25.71976427710007
seed_0102,1009,31.635674422154207,46.32122066905228,10.902418622790774,43.50520200721091,30.569232491583605
seed_0103,1000,9.939275316157543,26.844313227271257,9.83037473980961,9.977708179355524,8.431281842289359
seed_0103,1001,38.83452352898648,36.12628405043524,28.349005700665565,32.0604701464389,24.36137035192925
seed_0103,1002,15.932847515640185,29.24337351493318,10.683591331080756,20.41240361866776,16.124896855060463
seed_0103,1003,20.36957906194324,32.01825077295264,8.967436777259534,8.810537243675084,18.890396294404102
seed_0103,1004,11.118082025761916,23.648883546075055,8.903595133007688,13.201288821316929,15.338733319320854
seed_0103,1005,14.024761453775804,30.68956418140597,9.45829919702619,19.62069846688609,14.211329404735627
seed_0103,1006,20.0384909715334,25.563913932518446,8.223529357999045,19.71036846242857,16.100358403641536
seed_0103,1007,16.939758124330865,30.372214816227284,7.224476526093974,9.713062527151166,13.721727076617778
seed_0103,1008,12.048598338475598,18.205751964133405,3.7069023712738085,10.84689139272297,16.36182707376112
seed_0103,1009,11.075858655947151,31.728999657835303,10.902418622790774,10.203337157280616,13.22791451622516
seed_0104,1000,10.851031236600118,30.460890412510956,9.83037473980961,7.242090887890399,11.45332566148125
seed_0104,1001,36.21907955889218,40.96079095923349,28.349005700665565,22.28350203661217,32.42743166621862
seed_0104,1002,17.19342355870024,37.33740227579807,10.683591331080756,16.743402139947662,14.012286374748125
seed_0104,1003,11.291254677787407,30.48941103847723,8.967436777259534,9.31322028910893,9.620797822773028
seed_0104,1004,16.70625015710442,27.341664810595795,8.903595133007688,13.9484416921334,14.065072772748268
seed_0104,1005,16.818772549233348,34.795862145892855,9.45829919702619,10.011690094350874,12.667949395934343
seed_0104,1006,16.96216223534742,29.263874879993423,8.223529357999045,17.333517144811083,20.905842990259455
seed_0104,1007,14.249999040268156,31.51950322987477,7.224476526093974,13.373173770150858,12.283627724482809
seed_0104,1008,11.874836163993283,25.781416682634426,3.7069023712738085,11.504795953496508,11.737768947669693
seed_0104,1009,20.82670926903003,37.7530109357839,10.902418622790774,11.027529944433546,14.96380452234743
seed_0105,1000,20.975970444716477,28.75997765701326,9.83037473980961,18.570062286240603,16.91406894667122
seed_0105,1001,49.98000566562874,36.80379643283539,28.349005700665565,36.82422691848518,45.251718038777156
seed_0105,1002,31.044804183664972,33.89253101651411,10.683591331080756,27.40825643276741,28.979634384158665
seed_0105,1003,26.827111219536107,27.20470436279576,8.967436777259534,20.257225401690352,20.2525682280588
seed_0105,1004,26.572099728970258,24.420412873325205,8.903595133007688,28.80845350982894,26.433281532355153
seed_0105,1005,25.60108268550789,32.1205954662603,9.45829919702619,28.151983158704947,26.8218414928458
seed_0105,1006,27.28939022007564,29.49586027285138,8.223529357999045,29.565705784047363,31.26685486175382
seed_0105,1007,26.07426434661771,29.895315677006604,7.224476526093974,21.003564834643655,24.285265880986167
seed_0105,1008,25.705996996962636,29.535871268910675,3.7069023712738085,24.845460301715256,20.95728844816094
seed_0105,1009,22.79895194672727,25.74588696718464,10.902418622790774,20.598385011083572,17.2809332280118
