quantity,n,mean,sd,min,max,se,p_value
GroundSim-DEC ten-seed mean,5,10.232398585599814,0.5757525780047031,9.331456708163277,10.676677675362386,0.2574843805278533,
DeepSim ten-seed mean,5,11.541724907218619,0.856724588574686,10.993266227877761,12.988064750277582,0.3831388836097075,
"DeepSim minus GroundSim-DEC, mean per stream set",5,1.3093263216188045,1.2681951824312878,0.34201389759073314,3.0070978696009094,0.5671541273308213,0.08215946498578165
"DeepSim minus GroundSim-DEC, mean per seed over stream sets",10,1.3093263216188045,2.329248827269079,-3.1737363051469494,5.0287463146239,0.7365731531446403,0.048828125
"DeepSim minus GroundSim-DEC, all seed-set pairs (not independent)",50,1.3093263216188047,4.210968732943987,-6.250868767809474,13.363766633205785,0.5955209092858433,
