system,component,station,head,brier_mean,brier_se,n,ece,top_bin_gap
RefSim-M,transition,M1.2,,0.0,0.0,210304,0.0,0.0
RefSim-M,transition,M2.1,,0.0,0.0,208011,0.0,0.0
RefSim-M,transition,M2.2,,0.0,0.0,210294,0.0,0.0
RefSim-M,transition,M3.1,,0.0,0.0,240800,0.0,0.0
RefSim-M,transition,M3.2,,0.0,0.0,177466,0.0,0.0
RefSim-M,transition,M4.1,,0.31486980706598044,0.0009788782697036384,240791,0.0015991488325737269,
RefSim-M,transition,M4.2,,0.2553935825851413,0.001189723054764429,177462,0.0009098112999201824,
RefSim-M,transition,M5,,0.45185768178366487,0.0008771409607056436,112640,0.00031453510371559634,
RefSim-M,transition,POOLED,,0.13151500903054558,0.00012644544385550106,4408418,0.000331763592423942,0.0
RefSim-M,arrival,,feature_a,0.48999835299435024,0.00021414763794756433,418450,0.000753596347386698,
RefSim-M,arrival,,feature_b,0.7252269910002409,0.00026219749453427766,418450,3.560641794492225e-05,
RefSim-M,arrival,,type,0.6596519164217908,0.0001525811566969066,418450,0.0012465095079502442,
RefSim-M,arrival,POOLED,,0.6249590868054608,0.00015213958777801973,1255350,0.0006785707577606215,
RefSim-V,transition,B1.1,,0.0,0.0,208032,0.0,0.0
RefSim-V,transition,B1.2,,0.0,0.0,210318,0.0,0.0
RefSim-V,transition,B2.1,,0.0,0.0,208021,0.0,0.0
RefSim-V,transition,B2.2,,0.0,0.0,210304,0.0,0.0
RefSim-V,transition,B3.1.1,,0.26058755919951476,0.0009154212915454192,208008,0.0017900930559343869,0.0
RefSim-V,transition,B3.1.2,,0.23921917323824177,0.0008338517167844554,210293,0.002320204454159618,0.0
RefSim-V,transition,B3.2.1,,0.0,0.0,240818,0.0,0.0
RefSim-V,transition,B3.2.2,,0.0,0.0,177471,0.0,0.0
RefSim-V,transition,B4.1,,0.0,0.0,240800,0.0,0.0
RefSim-V,transition,B4.2,,0.0,0.0,177466,0.0,0.0
RefSim-V,transition,B5,,0.0,0.0,112648,0.0,0.0
RefSim-V,transition,InputBuffer,,0.2008474719358973,0.0003789533143952861,418448,0.00025038107255702645,0.0
RefSim-V,transition,M1.1,,0.0,0.0,208023,0.0,0.0
RefSim-V,transition,M1.2,,0.0,0.0,210304,0.0,0.0
RefSim-V,transition,M2.1,,0.0,0.0,208011,0.0,0.0
RefSim-V,transition,M2.2,,0.0,0.0,210294,0.0,0.0
RefSim-V,transition,M3.1,,0.0,0.0,240800,0.0,0.0
RefSim-V,transition,M3.2,,0.0,0.0,177466,0.0,0.0
RefSim-V,transition,M4.1,,0.24250017790019673,0.0007963103763751956,240791,0.002469657335179247,0.0006447640316254999
RefSim-V,transition,M4.2,,0.2076969665844578,0.0010193730446478304,177462,0.0015514384430539909,-0.0013879291448321007
RefSim-V,transition,M5,,0.4264347135339352,0.0009085699447652215,112640,0.0010183565656788263,0.001768115148649052
RefSim-V,transition,POOLED,,0.07527381094570305,0.0001093716877201158,4408418,0.00027526728509918736,-9.456639689098267e-07
RefSim-V,arrival,,feature_a,0.48999835299435024,0.00021414763794756433,418450,0.000753596347386698,
RefSim-V,arrival,,feature_b,0.7252269910002409,0.00026219749453427766,418450,3.560641794492225e-05,
RefSim-V,arrival,,type,0.6596519164217908,0.0001525811566969066,418450,0.0012465095079502442,
RefSim-V,arrival,POOLED,,0.6249590868054608,0.00015213958777801973,1255350,0.0006785707577606215,
RefSim-W,transition,B1.1,,0.0,0.0,208032,0.0,0.0
RefSim-W,transition,B1.2,,0.0,0.0,210318,0.0,0.0
RefSim-W,transition,B2.1,,0.0,0.0,208021,0.0,0.0
RefSim-W,transition,B2.2,,0.0,0.0,210304,0.0,0.0
RefSim-W,transition,B3.1.1,,0.4998638888687416,3.350789220867454e-05,208008,0.0006315702699439818,
RefSim-W,transition,B3.1.2,,0.4495591913700438,0.0006639932059114876,210293,0.0017419084283734065,
RefSim-W,transition,B3.2.1,,0.0,0.0,240818,0.0,0.0
RefSim-W,transition,B3.2.2,,0.0,0.0,177471,0.0,0.0
RefSim-W,transition,B4.1,,0.0,0.0,240800,0.0,0.0
RefSim-W,transition,B4.2,,0.0,0.0,177466,0.0,0.0
RefSim-W,transition,B5,,0.0,0.0,112648,0.0,0.0
RefSim-W,transition,InputBuffer,,0.499991810958038,2.7508077883585587e-06,418448,0.0018561333670912283,
RefSim-W,transition,M1.1,,0.0,0.0,208023,0.0,0.0
RefSim-W,transition,M1.2,,0.0,0.0,210304,0.0,0.0
RefSim-W,transition,M2.1,,0.0,0.0,208011,0.0,0.0
RefSim-W,transition,M2.2,,0.0,0.0,210294,0.0,0.0
RefSim-W,transition,M3.1,,0.0,0.0,240800,0.0,0.0
RefSim-W,transition,M3.2,,0.0,0.0,177466,0.0,0.0
RefSim-W,transition,M4.1,,0.31486980706598044,0.0009788782697036384,240791,0.0015991488325737269,
RefSim-W,transition,M4.2,,0.2553935825851413,0.001189723054764429,177462,0.0009098112999201824,
RefSim-W,transition,M5,,0.45185768178366487,0.0008771409607056436,112640,0.00031453510371559634,
RefSim-W,transition,POOLED,,0.13151500903054558,0.00012644544385550106,4408418,0.000331763592423942,0.0
RefSim-W,arrival,,feature_a,0.48999835299435024,0.00021414763794756433,418450,0.000753596347386698,
RefSim-W,arrival,,feature_b,0.7252269910002409,0.00026219749453427766,418450,3.560641794492225e-05,
RefSim-W,arrival,,type,0.6596519164217908,0.0001525811566969066,418450,0.0012465095079502442,
RefSim-W,arrival,POOLED,,0.6249590868054608,0.00015213958777801973,1255350,0.0006785707577606215,
